Code,Year,Renewables (% equivalent primary energy)
ARG,2018,11.331651
ARG,2019,11.911147
ARG,2020,12.310073
ARG,2021,11.335143
ARG,2022,12.188763
ARG,2023,14.102216
AUS,1965,5.5626216
AUS,1966,5.0718946
AUS,1967,4.9495487
AUS,1968,4.8654675
AUS,1969,5.086988
AUS,1970,5.421451
AUS,1971,5.8227277
AUS,1972,5.599285
AUS,1973,5.588665
AUS,1974,5.95511
AUS,1975,6.2970085
AUS,1976,5.7934213
AUS,1977,5.2697754
AUS,1978,5.508697
AUS,1979,5.1658406
AUS,1980,4.862272
AUS,1981,4.930354
AUS,1982,4.6367826
AUS,1983,4.4233117
AUS,1984,4.615918
AUS,1985,4.761565
AUS,1986,4.706491
AUS,1987,4.453812
AUS,1988,4.557184
AUS,1989,4.344282
AUS,1990,4.382939
AUS,1991,4.6554546
AUS,1992,4.6503634
AUS,1993,4.6700525
AUS,1994,4.446395
AUS,1995,4.239725
AUS,1996,4.236591
AUS,1997,4.14584
AUS,1998,4.037756
AUS,1999,4.008933
AUS,2000,3.9888778
AUS,2001,3.870762
AUS,2002,3.9314501
AUS,2003,4.0149684
AUS,2004,4.03656
AUS,2005,4.313553
AUS,2006,4.233413
AUS,2007,3.9767237
AUS,2008,3.681326
AUS,2009,3.9202657
AUS,2010,4.312805
AUS,2011,5.688442
AUS,2012,5.688193
AUS,2013,6.5121694
AUS,2014,5.9665823
AUS,2015,6.2833033
AUS,2016,7.1866975
AUS,2017,6.744328
AUS,2018,8.280843
AUS,2019,8.875714
AUS,2020,10.848229
AUS,2021,12.923943
AUS,2022,13.918374
AUS,2023,14.982515
AUT,1965,25.096405
AUT,1966,25.840193
AUT,1967,26.118929
AUT,1968,25.099167
AUT,1969,22.27537
AUT,1970,24.770256
AUT,1971,19.6523
AUT,1972,19.524149
AUT,1973,20.17739
AUT,1974,23.734526
AUT,1975,25.034246
AUT,1976,20.905321
AUT,1977,25.271303
AUT,1978,24.244625
AUT,1979,25.784454
AUT,1980,26.826015
AUT,1981,29.280653
AUT,1982,30.31977
AUT,1983,30.117786
AUT,1984,26.68983
AUT,1985,29.769283
AUT,1986,30.177652
AUT,1987,32.193813
AUT,1988,32.733353
AUT,1989,32.40866
AUT,1990,29.002949
AUT,1991,27.730646
AUT,1992,31.117105
AUT,1993,32.029507
AUT,1994,31.325548
AUT,1995,31.42617
AUT,1996,28.285664
AUT,1997,29.506138
AUT,1998,29.778776
AUT,1999,31.975573
AUT,2000,32.591774
AUT,2001,30.667883
AUT,2002,30.20616
AUT,2003,25.237972
AUT,2004,27.274899
AUT,2005,27.495369
AUT,2006,28.128284
AUT,2007,30.249714
AUT,2008,30.77213
AUT,2009,33.781616
AUT,2010,31.314478
AUT,2011,30.305704
AUT,2012,35.76177
AUT,2013,35.3089
AUT,2014,36.303062
AUT,2015,34.274372
AUT,2016,35.3048
AUT,2017,34.455837
AUT,2018,34.361984
AUT,2019,35.472965
AUT,2020,38.188835
AUT,2021,35.835052
AUT,2022,36.06654
AUT,2023,40.080193
AZE,1985,1.6519357
AZE,1986,0.9406936
AZE,1987,0.9706842
AZE,1988,0.842058
AZE,1989,0.8257339
AZE,1990,1.8816601
AZE,1991,2.0779731
AZE,1992,2.4099329
AZE,1993,3.8572147
AZE,1994,3.1670034
AZE,1995,2.8640726
AZE,1996,3.449877
AZE,1997,4.0128255
AZE,1998,4.5553145
AZE,1999,3.5244212
AZE,2000,3.4349427
AZE,2001,3.004117
AZE,2002,4.6939816
AZE,2003,5.2657747
AZE,2004,5.1585817
AZE,2005,5.165004
AZE,2006,4.3662996
AZE,2007,4.4247346
AZE,2008,4.149183
AZE,2009,4.9570913
AZE,2010,7.448546
AZE,2011,5.0649414
AZE,2012,3.326695
AZE,2013,2.7732372
AZE,2014,2.4248233
AZE,2015,2.7496912
AZE,2016,3.3369164
AZE,2017,3.0411427
AZE,2018,2.985358
AZE,2019,2.599264
AZE,2020,1.8952277
AZE,2021,2.0421484
AZE,2022,2.3129582
AZE,2023,2.3216856
BGD,1971,3.859758
BGD,1972,3.406534
BGD,1973,5.024387
BGD,1974,3.4634595
BGD,1975,6.043976
BGD,1976,5.868124
BGD,1977,5.079776
BGD,1978,5.5367117
BGD,1979,5.825672
BGD,1980,4.96088
BGD,1981,5.0166492
BGD,1982,3.8052511
BGD,1983,4.870658
BGD,1984,6.1055837
BGD,1985,4.526682
BGD,1986,2.5327973
BGD,1987,2.6365013
BGD,1988,3.0908637
BGD,1989,3.907864
BGD,1990,3.5392714
BGD,1991,3.4776092
BGD,1992,3.0288854
BGD,1993,2.104329
BGD,1994,2.7616804
BGD,1995,1.0269947
BGD,1996,1.9475645
BGD,1997,1.8034276
BGD,1998,2.0371237
BGD,1999,1.9397291
BGD,2000,1.6270941
BGD,2001,1.8750293
BGD,2002,1.4013306
BGD,2003,1.3186479
BGD,2004,1.2339083
BGD,2005,1.1331257
BGD,2006,1.0455985
BGD,2007,1.0152338
BGD,2008,1.2211707
BGD,2009,0.50959486
BGD,2010,0.86148775
BGD,2011,1.0177838
BGD,2012,0.8733193
BGD,2013,0.826586
BGD,2014,0.6849754
BGD,2015,0.82069933
BGD,2016,0.7713848
BGD,2017,0.879046
BGD,2018,0.7318307
BGD,2019,0.6592997
BGD,2020,0.6715829
BGD,2021,0.6931649
BGD,2022,0.8309142
BGD,2023,1.0080312
BLR,1985,0.0144934775
BLR,1986,0.012695331
BLR,1987,0.012513183
BLR,1988,0.012336068
BLR,1989,0.012754957
BLR,1990,0.012691677
BLR,1991,0.011448725
BLR,1992,0.012468852
BLR,1993,0.0166659
BLR,1994,0.019936152
BLR,1995,0.023589265
BLR,1996,0.018399423
BLR,1997,0.023874052
BLR,1998,0.032551832
BLR,1999,0.022707757
BLR,2000,0.031309377
BLR,2001,0.035550438
BLR,2002,0.033003505
BLR,2003,0.031900514
BLR,2004,0.03438375
BLR,2005,0.03729108
BLR,2006,0.036019433
BLR,2007,0.049702015
BLR,2008,0.10045313
BLR,2009,0.19693999
BLR,2010,0.25681725
BLR,2011,0.24902162
BLR,2012,0.26328462
BLR,2013,0.31542054
BLR,2014,0.30440024
BLR,2015,0.35748994
BLR,2016,0.42184716
BLR,2017,0.76281804
BLR,2018,0.6260032
BLR,2019,0.76110655
BLR,2020,0.9905478
BLR,2021,1.1767173
BLR,2022,1.2321929
BLR,2023,1.0955961
BEL,1965,0.19477375
BEL,1966,0.2222244
BEL,1967,0.16850355
BEL,1968,0.15502341
BEL,1969,0.13315213
BEL,1970,0.13480939
BEL,1971,0.07485565
BEL,1972,0.094584495
BEL,1973,0.15358603
BEL,1974,0.19144315
BEL,1975,0.15560855
BEL,1976,0.09175518
BEL,1977,0.26350048
BEL,1978,0.2591517
BEL,1979,0.28706482
BEL,1980,0.31437635
BEL,1981,0.38186046
BEL,1982,0.2197636
BEL,1983,0.21319488
BEL,1984,0.21372305
BEL,1985,0.18697686
BEL,1986,0.24818589
BEL,1987,0.30061248
BEL,1988,0.28122678
BEL,1989,0.25771406
BEL,1990,0.27479723
BEL,1991,0.25747827
BEL,1992,0.29419133
BEL,1993,0.24665135
BEL,1994,0.2759149
BEL,1995,0.3051201
BEL,1996,0.24271938
BEL,1997,0.25003314
BEL,1998,0.31667665
BEL,1999,0.36021912
BEL,2000,0.433269
BEL,2001,0.44920534
BEL,2002,0.47973493
BEL,2003,0.48671448
BEL,2004,0.606298
BEL,2005,0.8666806
BEL,2006,1.2095445
BEL,2007,1.4152513
BEL,2008,1.7643934
BEL,2009,2.5553334
BEL,2010,3.1909645
BEL,2011,4.0780997
BEL,2012,5.1477056
BEL,2013,5.4598446
BEL,2014,6.152073
BEL,2015,6.7979774
BEL,2016,6.4830685
BEL,2017,7.0611453
BEL,2018,7.538291
BEL,2019,8.078669
BEL,2020,10.863382
BEL,2021,9.544263
BEL,2022,10.829778
BEL,2023,12.525129
BRA,1965,27.548725
BRA,1966,27.618214
BRA,1967,27.880291
BRA,1968,25.555754
BRA,1969,25.05622
BRA,1970,27.117094
BRA,1971,26.37442
BRA,1972,27.116016
BRA,1973,26.067352
BRA,1974,26.414951
BRA,1975,27.490095
BRA,1976,28.666958
BRA,1977,30.686188
BRA,1978,30.963718
BRA,1979,32.51719
BRA,1980,35.243515
BRA,1981,36.3235
BRA,1982,37.79666
BRA,1983,41.02851
BRA,1984,42.65514
BRA,1985,43.111156
BRA,1986,42.787334
BRA,1987,42.403927
BRA,1988,43.9331
BRA,1989,44.16665
BRA,1990,44.53114
BRA,1991,45.268887
BRA,1992,45.73639
BRA,1993,45.985283
BRA,1994,45.4955
BRA,1995,44.73329
BRA,1996,44.30005
BRA,1997,43.421165
BRA,1998,43.59449
BRA,1999,43.436108
BRA,2000,42.443245
BRA,2001,38.569214
BRA,2002,40.180744
BRA,2003,41.64891
BRA,2004,41.635994
BRA,2005,42.51229
BRA,2006,42.397827
BRA,2007,43.479145
BRA,2008,42.63199
BRA,2009,45.54154
BRA,2010,43.85847
BRA,2011,43.93462
BRA,2012,41.70022
BRA,2013,39.92749
BRA,2014,38.842846
BRA,2015,40.033836
BRA,2016,42.97847
BRA,2017,42.650604
BRA,2018,45.428116
BRA,2019,46.808254
BRA,2020,48.693333
BRA,2021,44.914055
BRA,2022,48.832825
BRA,2023,50.33141
BGR,1965,4.931371
BGR,1966,4.6229753
BGR,1967,4.0036206
BGR,1968,2.3115647
BGR,1969,2.9225402
BGR,1970,3.0394952
BGR,1971,2.9434657
BGR,1972,2.7616532
BGR,1973,3.2605417
BGR,1974,2.5623977
BGR,1975,2.7339408
BGR,1976,3.1084793
BGR,1977,3.5239036
BGR,1978,2.805369
BGR,1979,3.0763478
BGR,1980,3.2677274
BGR,1981,3.2318056
BGR,1982,2.6594317
BGR,1983,2.90392
BGR,1984,2.839835
BGR,1985,1.9635512
BGR,1986,2.0015333
BGR,1987,2.1663287
BGR,1988,2.1662035
BGR,1989,2.2651663
BGR,1990,1.4857495
BGR,1991,2.5538871
BGR,1992,2.2773595
BGR,1993,2.0045958
BGR,1994,1.5115008
BGR,1995,2.3577003
BGR,1996,3.1407084
BGR,1997,3.1324148
BGR,1998,3.669025
BGR,1999,3.718413
BGR,2000,3.578958
BGR,2001,2.159837
BGR,2002,2.835246
BGR,2003,3.8543482
BGR,2004,4.1520047
BGR,2005,5.2177896
BGR,2006,5.0039926
BGR,2007,3.4964986
BGR,2008,3.587999
BGR,2009,5.116166
BGR,2010,7.6581745
BGR,2011,4.874571
BGR,2012,7.2071776
BGR,2013,10.177441
BGR,2014,10.104898
BGR,2015,11.299108
BGR,2016,9.809312
BGR,2017,8.443123
BGR,2018,12.588994
BGR,2019,10.773653
BGR,2020,11.53778
BGR,2021,13.715241
BGR,2022,12.46647
BGR,2023,15.011163
CAN,1965,25.138649
CAN,1966,26.194746
CAN,1967,25.610426
CAN,1968,24.47401
CAN,1969,25.521269
CAN,1970,25.025076
CAN,1971,24.927824
CAN,1972,25.893644
CAN,1973,25.552883
CAN,1974,26.811583
CAN,1975,26.15631
CAN,1976,26.332035
CAN,1977,25.808472
CAN,1978,27.058771
CAN,1979,27.29702
CAN,1980,27.539682
CAN,1981,29.403925
CAN,1982,29.416243
CAN,1983,30.49923
CAN,1984,30.855843
CAN,1985,31.611633
CAN,1986,32.04593
CAN,1987,31.649542
CAN,1988,29.61134
CAN,1989,27.817396
CAN,1990,29.480997
CAN,1991,30.499428
CAN,1992,30.51211
CAN,1993,30.450893
CAN,1994,29.927301
CAN,1995,29.888117
CAN,1996,30.879307
CAN,1997,30.284904
CAN,1998,29.307375
CAN,1999,29.588795
CAN,2000,29.767815
CAN,2001,28.20141
CAN,2002,28.546556
CAN,2003,27.180016
CAN,2004,26.827923
CAN,2005,28.265472
CAN,2006,27.618176
CAN,2007,27.695152
CAN,2008,28.591097
CAN,2009,29.210728
CAN,2010,27.808294
CAN,2011,28.648472
CAN,2012,29.00381
CAN,2013,28.980621
CAN,2014,28.198492
CAN,2015,28.918821
CAN,2016,29.662228
CAN,2017,29.78379
CAN,2018,28.792355
CAN,2019,28.550873
CAN,2020,30.752234
CAN,2021,30.284687
CAN,2022,30.560762
CAN,2023,29.263187
CHL,1965,16.141762
CHL,1966,15.867013
CHL,1967,15.8887
CHL,1968,13.367759
CHL,1969,13.999327
CHL,1970,14.19122
CHL,1971,14.860414
CHL,1972,17.308092
CHL,1973,17.450201
CHL,1974,19.770317
CHL,1975,21.942268
CHL,1976,21.900364
CHL,1977,22.105398
CHL,1978,22.151817
CHL,1979,21.552887
CHL,1980,22.069942
CHL,1981,22.72726
CHL,1982,26.627869
CHL,1983,27.825817
CHL,1984,27.770302
CHL,1985,30.351582
CHL,1986,31.423769
CHL,1987,32.36392
CHL,1988,28.551182
CHL,1989,21.783056
CHL,1990,18.957916
CHL,1991,24.08466
CHL,1992,28.355387
CHL,1993,27.529266
CHL,1994,25.954521
CHL,1995,26.028479
CHL,1996,22.5519
CHL,1997,21.909548
CHL,1998,18.059258
CHL,1999,15.275814
CHL,2000,19.783125
CHL,2001,22.047363
CHL,2002,22.87545
CHL,2003,22.010805
CHL,2004,19.43779
CHL,2005,22.099463
CHL,2006,22.957874
CHL,2007,19.440195
CHL,2008,21.59478
CHL,2009,22.96064
CHL,2010,19.835663
CHL,2011,18.481121
CHL,2012,18.747072
CHL,2013,18.79665
CHL,2014,20.39204
CHL,2015,21.905157
CHL,2016,20.180143
CHL,2017,22.318325
CHL,2018,24.333767
CHL,2019,23.463417
CHL,2020,25.859335
CHL,2021,24.355661
CHL,2022,27.08363
CHL,2023,30.532255
CHN,1965,4.253407
CHN,1966,3.9831228
CHN,1967,3.818398
CHN,1968,4.458871
CHN,1969,3.7274022
CHN,1970,3.0095923
CHN,1971,3.0704048
CHN,1972,3.227597
CHN,1973,3.417015
CHN,1974,3.7493546
CHN,1975,3.503824
CHN,1976,3.3725686
CHN,1977,3.2287142
CHN,1978,2.7594638
CHN,1979,3.008899
CHN,1980,3.566198
CHN,1981,4.066497
CHN,1982,4.4212723
CHN,1983,4.8234906
CHN,1984,4.515455
CHN,1985,4.441829
CHN,1986,4.3385277
CHN,1987,4.2555475
CHN,1988,4.3230724
CHN,1989,4.4680266
CHN,1990,4.723668
CHN,1991,4.4247785
CHN,1992,4.4127026
CHN,1993,4.75786
CHN,1994,4.952474
CHN,1995,5.5538197
CHN,1996,5.1431327
CHN,1997,5.361735
CHN,1998,5.4277787
CHN,1999,5.1882854
CHN,2000,5.656926
CHN,2001,6.6186247
CHN,2002,6.2804885
CHN,2003,5.30111
CHN,2004,5.60094
CHN,2005,5.5544806
CHN,2006,5.577841
CHN,2007,5.7195926
CHN,2008,7.2738767
CHN,2009,6.9355316
CHN,2010,7.6156235
CHN,2011,7.083536
CHN,2012,8.521457
CHN,2013,8.958172
CHN,2014,10.227447
CHN,2015,10.835855
CHN,2016,11.725009
CHN,2017,12.291223
CHN,2018,12.862764
CHN,2019,13.459068
CHN,2020,14.080283
CHN,2021,14.896213
CHN,2022,15.9457655
CHN,2023,16.164698
COL,1965,10.729045
COL,1966,10.590929
COL,1967,11.202192
COL,1968,12.023638
COL,1969,13.203888
COL,1970,13.413398
COL,1971,14.3879595
COL,1972,13.823888
COL,1973,15.555398
COL,1974,15.7888975
COL,1975,18.878565
COL,1976,19.034077
COL,1977,18.79995
COL,1978,20.633047
COL,1979,21.762644
COL,1980,22.777384
COL,1981,22.155632
COL,1982,23.009438
COL,1983,22.032003
COL,1984,24.247952
COL,1985,25.23612
COL,1986,27.80027
COL,1987,27.698511
COL,1988,29.223629
COL,1989,30.273563
COL,1990,32.54881
COL,1991,31.96542
COL,1992,24.941273
COL,1993,28.616268
COL,1994,30.40986
COL,1995,29.690346
COL,1996,31.470236
COL,1997,27.651566
COL,1998,26.757204
COL,1999,31.315977
COL,2000,29.508314
COL,2001,29.830153
COL,2002,31.78181
COL,2003,32.990623
COL,2004,33.021286
COL,2005,34.17347
COL,2006,32.25097
COL,2007,32.76647
COL,2008,32.606388
COL,2009,29.99507
COL,2010,28.606323
COL,2011,32.644135
COL,2012,30.217394
COL,2013,27.414104
COL,2014,26.4035
COL,2015,27.78511
COL,2016,25.639427
COL,2017,30.291828
COL,2018,29.727283
COL,2019,28.663414
COL,2020,29.010368
COL,2021,30.987612
COL,2022,30.924702
COL,2023,28.916952
HRV,1990,11.523735
HRV,1991,19.537254
HRV,1992,15.994586
HRV,1993,16.087374
HRV,1994,18.960016
HRV,1995,19.160814
HRV,1996,24.701183
HRV,1997,18.543142
HRV,1998,18.063107
HRV,1999,21.245943
HRV,2000,19.766321
HRV,2001,20.779488
HRV,2002,16.806644
HRV,2003,14.887468
HRV,2004,19.898252
HRV,2005,18.501064
HRV,2006,17.52409
HRV,2007,12.393234
HRV,2008,15.262363
HRV,2009,19.716614
HRV,2010,23.851255
HRV,2011,15.510488
HRV,2012,16.895237
HRV,2013,26.756195
HRV,2014,28.475935
HRV,2015,22.67194
HRV,2016,23.881334
HRV,2017,20.280275
HRV,2018,27.056107
HRV,2019,24.222437
HRV,2020,26.004786
HRV,2021,29.736883
HRV,2022,26.013306
HRV,2023,31.566439
CZE,1965,1.4077874
CZE,1966,1.3170925
CZE,1967,1.2057945
CZE,1968,0.89475876
CZE,1969,0.7005399
CZE,1970,0.9598853
CZE,1971,0.64512116
CZE,1972,0.6712159
CZE,1973,0.57063675
CZE,1974,0.9500237
CZE,1975,0.91022944
CZE,1976,0.7058947
CZE,1977,0.9296591
CZE,1978,0.8529741
CZE,1979,1.0576006
CZE,1980,1.1426239
CZE,1981,0.9889818
CZE,1982,0.8108596
CZE,1983,0.80229473
CZE,1984,0.6089416
CZE,1985,0.782431
CZE,1986,0.8687311
CZE,1987,1.1157937
CZE,1988,0.94598264
CZE,1989,0.7638888
CZE,1990,0.6279108
CZE,1991,0.6470877
CZE,1992,0.86247593
CZE,1993,0.9614583
CZE,1994,1.1625127
CZE,1995,1.5213261
CZE,1996,1.393759
CZE,1997,1.446235
CZE,1998,1.3689234
CZE,1999,1.7020341
CZE,2000,1.5951673
CZE,2001,1.6955769
CZE,2002,1.9760944
CZE,2003,1.2228435
CZE,2004,1.6074102
CZE,2005,1.778649
CZE,2006,1.9904531
CZE,2007,1.9663903
CZE,2008,2.3974464
CZE,2009,3.2484796
CZE,2010,3.8938859
CZE,2011,4.9096026
CZE,2012,5.3718815
CZE,2013,6.2181935
CZE,2014,6.416
CZE,2015,6.6330338
CZE,2016,6.700512
CZE,2017,6.499982
CZE,2018,6.3605146
CZE,2019,6.9432154
CZE,2020,7.7524385
CZE,2021,7.481806
CZE,2022,7.5352736
CZE,2023,7.9845033
DNK,1983,0.14966652
DNK,1984,0.15148832
DNK,1985,0.16285837
DNK,1986,0.27791974
DNK,1987,0.37065881
DNK,1988,0.5722486
DNK,1989,0.88691425
DNK,1990,1.2664864
DNK,1991,1.4587733
DNK,1992,2.0408638
DNK,1993,2.3619852
DNK,1994,2.1321414
DNK,1995,2.3133218
DNK,1996,2.187726
DNK,1997,3.3808842
DNK,1998,4.675769
DNK,1999,5.389067
DNK,2000,7.0956717
DNK,2001,7.4025145
DNK,2002,8.58695
DNK,2003,9.462797
DNK,2004,11.729119
DNK,2005,12.474308
DNK,2006,10.684707
DNK,2007,12.466456
DNK,2008,12.62092
DNK,2009,13.378912
DNK,2010,15.567867
DNK,2011,19.240635
DNK,2012,22.003109
DNK,2013,22.68556
DNK,2014,26.237986
DNK,2015,28.001373
DNK,2016,26.942242
DNK,2017,31.503704
DNK,2018,30.349339
DNK,2019,34.10149
DNK,2020,38.468384
DNK,2021,40.294327
DNK,2022,41.246773
DNK,2023,42.73486
ECU,1990,18.208447
ECU,1991,16.781822
ECU,1992,16.528347
ECU,1993,18.627613
ECU,1994,19.351004
ECU,1995,16.093632
ECU,1996,17.381893
ECU,1997,16.071615
ECU,1998,15.920069
ECU,1999,19.251896
ECU,2000,21.61393
ECU,2001,19.692354
ECU,2002,21.095179
ECU,2003,19.533443
ECU,2004,18.734915
ECU,2005,16.596605
ECU,2006,16.251612
ECU,2007,19.557274
ECU,2008,22.617527
ECU,2009,18.929247
ECU,2010,15.955793
ECU,2011,19.212603
ECU,2012,19.8579
ECU,2013,17.394707
ECU,2014,17.304941
ECU,2015,19.689713
ECU,2016,23.698437
ECU,2017,28.42279
ECU,2018,27.421818
ECU,2019,31.70298
ECU,2020,36.008568
ECU,2021,32.326263
ECU,2022,29.61888
ECU,2023,28.97765
EGY,1965,5.587894
EGY,1966,5.5950437
EGY,1967,7.041625
EGY,1968,9.956792
EGY,1969,16.08243
EGY,1970,15.164636
EGY,1971,15.877998
EGY,1972,14.63569
EGY,1973,15.458054
EGY,1974,16.143082
EGY,1975,16.16058
EGY,1976,15.923643
EGY,1977,16.571007
EGY,1978,17.237104
EGY,1979,15.267534
EGY,1980,13.69403
EGY,1981,12.52634
EGY,1982,11.533038
EGY,1983,9.980415
EGY,1984,8.979603
EGY,1985,8.225813
EGY,1986,7.8884335
EGY,1987,7.4370356
EGY,1988,7.214404
EGY,1989,7.3539524
EGY,1990,7.5208664
EGY,1991,7.3963394
EGY,1992,7.3806868
EGY,1993,7.595429
EGY,1994,7.6767826
EGY,1995,7.558946
EGY,1996,7.3617535
EGY,1997,7.2438493
EGY,1998,7.1541777
EGY,1999,7.409151
EGY,2000,7.416067
EGY,2001,7.225908
EGY,2002,6.795775
EGY,2003,5.9376993
EGY,2004,5.6346426
EGY,2005,5.385707
EGY,2006,5.1723156
EGY,2007,5.363156
EGY,2008,5.4142365
EGY,2009,4.8005958
EGY,2010,4.4617195
EGY,2011,4.315468
EGY,2012,4.160286
EGY,2013,4.15519
EGY,2014,4.1552024
EGY,2015,4.3093953
EGY,2016,4.1127086
EGY,2017,3.8524866
EGY,2018,4.065821
EGY,2019,5.1530914
EGY,2020,6.528981
EGY,2021,6.0273504
EGY,2022,5.699291
EGY,2023,5.891331
EST,1985,0.0
EST,1986,0.0
EST,1987,0.0
EST,1988,0.0
EST,1989,0.0
EST,1990,0.0
EST,1991,0.0
EST,1992,0.0
EST,1993,0.0
EST,1994,0.0
EST,1995,0.030810123
EST,1996,0.024178887
EST,1997,0.039272036
EST,1998,0.06566687
EST,1999,0.09923462
EST,2000,0.34300694
EST,2001,0.15898865
EST,2002,0.18508367
EST,2003,0.21938756
EST,2004,0.2892184
EST,2005,0.5010425
EST,2006,0.6115425
EST,2007,0.59698224
EST,2008,0.91512406
EST,2009,2.8205373
EST,2010,4.5134435
EST,2011,5.002608
EST,2012,6.1861205
EST,2013,4.875871
EST,2014,5.822954
EST,2015,6.8995023
EST,2016,6.7311354
EST,2017,7.1341434
EST,2018,8.032092
EST,2019,10.686006
EST,2020,15.784544
EST,2021,14.641426
EST,2022,13.766856
EST,2023,15.521677
FIN,1974,18.06427
FIN,1975,17.08967
FIN,1976,12.514575
FIN,1977,15.202661
FIN,1978,11.782436
FIN,1979,12.09141
FIN,1980,11.415307
FIN,1981,15.10919
FIN,1982,14.666411
FIN,1983,15.36475
FIN,1984,14.383723
FIN,1985,12.764181
FIN,1986,12.675926
FIN,1987,13.406022
FIN,1988,13.070462
FIN,1989,12.690623
FIN,1990,15.025665
FIN,1991,16.623262
FIN,1992,18.345428
FIN,1993,17.708103
FIN,1994,15.905319
FIN,1995,17.83622
FIN,1996,15.512952
FIN,1997,17.436531
FIN,1998,20.417698
FIN,1999,18.097704
FIN,2000,19.816307
FIN,2001,17.827953
FIN,2002,16.364536
FIN,2003,14.705513
FIN,2004,19.619965
FIN,2005,19.669651
FIN,2006,17.648571
FIN,2007,18.949663
FIN,2008,22.497007
FIN,2009,19.203804
FIN,2010,19.707203
FIN,2011,21.06651
FIN,2012,25.105116
FIN,2013,22.765919
FIN,2014,24.830048
FIN,2015,28.261705
FIN,2016,26.694275
FIN,2017,28.758484
FIN,2018,28.735558
FIN,2019,29.32629
FIN,2020,33.45363
FIN,2021,35.85605
FIN,2022,35.68258
FIN,2023,35.936253
FRA,1965,10.29021
FRA,1966,11.304578
FRA,1967,9.310768
FRA,1968,9.88298
FRA,1969,9.455497
FRA,1970,9.389571
FRA,1971,7.856475
FRA,1972,7.395049
FRA,1973,6.6609397
FRA,1974,7.962638
FRA,1975,8.960049
FRA,1976,6.8634806
FRA,1977,10.469228
FRA,1978,9.071197
FRA,1979,8.585797
FRA,1980,9.035392
FRA,1981,9.517086
FRA,1982,9.66136
FRA,1983,9.3065195
FRA,1984,8.527576
FRA,1985,7.798105
FRA,1986,7.6883883
FRA,1987,8.467063
FRA,1988,9.054768
FRA,1989,5.5444374
FRA,1990,6.241498
FRA,1991,6.2466106
FRA,1992,7.3756804
FRA,1993,6.9578476
FRA,1994,8.531402
FRA,1995,7.761339
FRA,1996,6.827265
FRA,1997,6.7619724
FRA,1998,6.4227214
FRA,1999,7.365318
FRA,2000,6.7216315
FRA,2001,7.4109597
FRA,2002,6.1641173
FRA,2003,5.9472837
